Date,Oudated,UpToDate,Untranslated,Total
2026-03-19,2749,16,11452,2765
2026-03-20,2749,16,11452,2765
2026-03-21,2749,16,11453,2765
2026-03-22,2749,16,11453,2765
2026-03-23,2749,16,11433,2765
2026-03-24,2749,16,11465,2765
2026-03-25,2749,16,11470,2765
2026-03-26,2749,16,11470,2765
2026-03-27,2749,16,11470,2765
2026-03-28,2749,16,11479,2765
2026-03-29,2749,16,11479,2765
2026-03-30,2749,16,11480,2765
2026-03-31,2749,17,11479,2766
2026-04-01,2749,17,11499,2766
2026-04-02,2749,17,11499,2766
2026-04-03,2749,17,11499,2766
2026-04-04,2749,17,11499,2766
2026-04-05,2749,17,11499,2766
2026-04-06,2749,17,11499,2766
2026-04-07,2749,17,11499,2766
2026-04-08,2749,17,11500,2766
2026-04-09,2749,17,11500,2766
2026-04-10,2749,17,11505,2766
2026-04-11,2749,17,11510,2766
2026-04-12,2749,17,11510,2766
2026-04-13,2749,17,11510,2766
2026-04-14,2749,17,11538,2766
2026-04-15,2749,17,11540,2766
2026-04-16,2749,17,11540,2766
2026-04-17,2749,17,11540,2766
2026-04-18,2749,17,11540,2766
2026-04-19,2749,17,11540,2766
2026-04-20,2749,17,11540,2766
2026-04-21,2749,17,11543,2766
2026-04-22,2749,17,11597,2766
2026-04-23,2749,17,11598,2766
2026-04-24,2749,17,11598,2766
2026-04-25,2749,17,11598,2766
2026-04-26,2749,17,11598,2766
2026-04-27,2749,17,11598,2766
2026-04-28,2749,17,11600,2766
2026-04-29,2749,17,11600,2766
2026-04-30,2749,17,11602,2766
2026-05-01,2749,17,11602,2766
2026-05-02,2749,17,11602,2766
2026-05-03,2749,17,11602,2766
2026-05-04,2749,17,11602,2766
2026-05-05,2749,17,11603,2766
2026-05-06,2749,17,11604,2766
2026-05-07,2749,17,11606,2766
2026-05-08,2749,17,11606,2766
2026-05-09,2749,17,11609,2766
2026-05-10,2749,17,11609,2766
2026-05-11,2749,17,11609,2766
2026-05-12,2749,17,11622,2766
2026-05-13,2749,17,11628,2766
2026-05-14,2749,17,11630,2766
2026-05-15,2749,17,11631,2766
2026-05-16,2749,17,11631,2766
2026-05-17,2749,17,11631,2766
2026-05-18,2749,17,11631,2766
2026-05-19,2749,17,11638,2766
2026-05-20,2749,17,11638,2766
2026-05-21,2749,17,11642,2766
2026-05-22,2749,17,11649,2766
2026-05-23,2749,17,11660,2766
2026-05-24,2749,17,11660,2766
2026-05-25,2749,17,11660,2766
2026-05-26,2749,17,11660,2766
2026-05-27,2749,17,11660,2766
2026-05-28,2749,17,11660,2766
2026-05-29,2749,17,11661,2766
2026-05-30,2749,17,11662,2766
2026-05-31,2749,17,11662,2766
2026-06-01,2749,17,11662,2766
2026-06-02,2749,17,11662,2766
2026-06-03,2749,17,11672,2766
2026-06-04,2749,17,11675,2766
2026-06-05,2749,17,11675,2766
2026-06-06,2749,17,11676,2766
2026-06-07,2749,17,11676,2766
2026-06-08,2749,17,11676,2766
2026-06-09,2749,17,11684,2766
2026-06-10,2749,17,11687,2766
2026-06-11,2749,17,11689,2766
2026-06-12,2749,17,11692,2766
2026-06-13,2749,17,11691,2766
2026-06-14,2749,17,11691,2766
2026-06-15,2749,17,11691,2766
2026-06-16,2749,17,11691,2766
2026-06-17,2749,17,11699,2766
2026-06-18,2749,17,11702,2766
2026-06-19,2749,17,11712,2766
2026-06-20,2749,17,11720,2766
2026-06-21,2749,17,11720,2766
2026-06-22,2749,17,11720,2766
2026-06-23,2749,17,11721,2766
2026-06-24,2749,17,11723,2766
2026-06-25,2749,17,11723,2766
2026-06-26,2749,17,11723,2766
2026-06-27,2749,17,11725,2766
2026-06-28,2749,17,11725,2766
2026-06-29,2749,18,11724,2767
2026-06-30,2749,19,11723,2768
2026-07-01,2749,19,11723,2768
2026-07-02,2749,19,11724,2768
2026-07-03,2749,19,11724,2768
2026-07-04,2750,18,11727,2768
2026-07-05,2750,18,11727,2768
2026-07-06,2750,18,11727,2768
2026-07-07,2750,18,11728,2768
2026-07-08,2750,18,11728,2768
2026-07-09,2750,18,11728,2768
2026-07-10,2750,18,11733,2768
2026-07-11,2750,18,11733,2768
2026-07-12,2750,18,11733,2768
2026-07-13,2750,18,11733,2768
2026-07-14,2750,18,11734,2768
2026-07-15,2750,18,11734,2768
2026-07-16,2750,18,11735,2768
2026-07-17,2750,18,11737,2768
2026-07-18,2750,18,11742,2768
2026-07-19,2750,18,11746,2768
2026-07-20,2750,18,11746,2768
2026-07-21,2750,18,11747,2768
2026-07-22,2750,18,11747,2768
2026-07-23,2750,18,11747,2768
