Date,Oudated,UpToDate,Untranslated,Total
2026-03-19,824,199,13194,1023
2026-03-20,824,199,13194,1023
2026-03-21,824,199,13195,1023
2026-03-22,824,199,13195,1023
2026-03-23,824,199,13175,1023
2026-03-24,825,198,13207,1023
2026-03-25,825,198,13212,1023
2026-03-26,825,198,13212,1023
2026-03-27,826,197,13212,1023
2026-03-28,826,197,13221,1023
2026-03-29,826,197,13221,1023
2026-03-30,826,197,13222,1023
2026-03-31,826,197,13222,1023
2026-04-01,826,197,13242,1023
2026-04-02,826,197,13242,1023
2026-04-03,826,197,13242,1023
2026-04-04,826,197,13242,1023
2026-04-05,826,197,13242,1023
2026-04-06,826,197,13242,1023
2026-04-07,827,196,13242,1023
2026-04-08,828,195,13243,1023
2026-04-09,829,194,13243,1023
2026-04-10,829,194,13248,1023
2026-04-11,829,194,13253,1023
2026-04-12,829,194,13253,1023
2026-04-13,829,194,13253,1023
2026-04-14,829,194,13281,1023
2026-04-15,829,194,13283,1023
2026-04-16,829,194,13283,1023
2026-04-17,830,193,13283,1023
2026-04-18,832,191,13283,1023
2026-04-19,833,190,13283,1023
2026-04-20,833,190,13283,1023
2026-04-21,833,190,13286,1023
2026-04-22,833,190,13340,1023
2026-04-23,833,190,13341,1023
2026-04-24,833,190,13341,1023
2026-04-25,834,189,13341,1023
2026-04-26,834,189,13341,1023
2026-04-27,834,189,13341,1023
2026-04-28,835,188,13343,1023
2026-04-29,835,188,13343,1023
2026-04-30,835,188,13345,1023
2026-05-01,835,188,13345,1023
2026-05-02,835,188,13345,1023
2026-05-03,835,188,13345,1023
2026-05-04,835,188,13345,1023
2026-05-05,835,188,13346,1023
2026-05-06,835,188,13347,1023
2026-05-07,835,188,13349,1023
2026-05-08,835,188,13349,1023
2026-05-09,835,188,13352,1023
2026-05-10,835,188,13352,1023
2026-05-11,835,188,13352,1023
2026-05-12,837,186,13365,1023
2026-05-13,837,186,13371,1023
2026-05-14,837,186,13373,1023
2026-05-15,837,186,13374,1023
2026-05-16,837,186,13374,1023
2026-05-17,837,186,13374,1023
2026-05-18,837,186,13374,1023
2026-05-19,837,186,13381,1023
2026-05-20,837,186,13381,1023
2026-05-21,838,185,13385,1023
2026-05-22,839,184,13392,1023
2026-05-23,839,184,13403,1023
2026-05-24,839,184,13403,1023
2026-05-25,839,184,13403,1023
2026-05-26,839,184,13403,1023
2026-05-27,839,184,13403,1023
2026-05-28,839,184,13403,1023
2026-05-29,839,184,13404,1023
2026-05-30,839,184,13405,1023
2026-05-31,839,184,13405,1023
2026-06-01,839,184,13405,1023
2026-06-02,839,184,13405,1023
2026-06-03,839,184,13415,1023
2026-06-04,839,184,13418,1023
2026-06-05,839,184,13418,1023
2026-06-06,840,183,13419,1023
2026-06-07,840,183,13419,1023
2026-06-08,840,183,13419,1023
2026-06-09,841,182,13427,1023
2026-06-10,842,181,13430,1023
2026-06-11,842,181,13432,1023
2026-06-12,842,181,13435,1023
2026-06-13,842,181,13434,1023
2026-06-14,842,181,13434,1023
2026-06-15,842,181,13434,1023
2026-06-16,842,181,13434,1023
2026-06-17,842,181,13442,1023
2026-06-18,842,181,13445,1023
2026-06-19,842,181,13455,1023
2026-06-20,842,181,13463,1023
2026-06-21,842,181,13463,1023
2026-06-22,842,181,13463,1023
2026-06-23,877,146,13464,1023
2026-06-24,877,146,13466,1023
2026-06-25,877,146,13466,1023
2026-06-26,877,146,13466,1023
2026-06-27,877,146,13468,1023
2026-06-28,877,146,13468,1023
2026-06-29,877,146,13468,1023
2026-06-30,876,147,13468,1023
